fetch_timestamp,city,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,wind_gust,clouds_pct,visibility,weather_main,weather_desc
2026-07-14T06:39:52.373670+00:00,Delhi,28.7041,77.1025,39.09,42.22,32,998,3.94,277,3.75,99,10000,Clouds,overcast clouds
2026-07-14T06:39:52.373670+00:00,Faridabad,28.4089,77.3178,38.3,41.48,34,999,4.25,258,4.06,97,10000,Clouds,overcast clouds
2026-07-14T06:39:52.373670+00:00,Ghaziabad,28.6692,77.4538,38.96,42.38,33,998,3.48,306,4.23,100,10000,Clouds,overcast clouds
2026-07-14T06:39:52.373670+00:00,Gurgaon,28.4595,77.0266,38.35,41.58,34,999,3.95,259,3.63,100,10000,Clouds,overcast clouds
2026-07-14T06:39:52.373670+00:00,Noida,28.5355,77.391,38.61,41.69,33,999,3.7,262,4.14,100,10000,Clouds,overcast clouds
2026-07-14T06:41:14.159748+00:00,Delhi,28.7041,77.1025,39.09,42.22,32,998,3.94,277,3.75,99,10000,Clouds,overcast clouds
2026-07-14T06:41:14.159748+00:00,Faridabad,28.4089,77.3178,38.3,41.48,34,999,4.25,258,4.06,97,10000,Clouds,overcast clouds
2026-07-14T06:41:14.159748+00:00,Ghaziabad,28.6692,77.4538,38.96,42.38,33,998,3.48,306,4.23,100,10000,Clouds,overcast clouds
2026-07-14T06:41:14.159748+00:00,Gurgaon,28.4595,77.0266,38.35,41.58,34,999,3.95,259,3.63,100,10000,Clouds,overcast clouds
2026-07-14T06:41:14.159748+00:00,Noida,28.5355,77.391,38.61,41.69,33,999,3.7,262,4.14,100,10000,Clouds,overcast clouds
2026-07-14T08:11:26.742410+00:00,Delhi,28.7041,77.1025,38.67,41.4,32,998,3.45,261,4.1,100,10000,Clouds,overcast clouds
2026-07-14T08:11:26.742410+00:00,Faridabad,28.4089,77.3178,38.58,41.63,33,998,3.74,265,4.04,94,10000,Clouds,overcast clouds
2026-07-14T08:11:26.742410+00:00,Ghaziabad,28.6692,77.4538,38.1,41.49,35,998,3.49,296,3.99,100,10000,Clouds,overcast clouds
2026-07-14T08:11:26.742410+00:00,Gurgaon,28.4595,77.0266,39.08,42.2,32,998,3.28,259,4.05,99,10000,Clouds,overcast clouds
2026-07-14T08:11:26.742410+00:00,Noida,28.5355,77.391,37.95,40.8,34,998,3.58,266,4.04,100,10000,Clouds,overcast clouds
2026-07-14T09:14:05.977705+00:00,Delhi,28.7041,77.1025,39.55,41.86,29,997,2.89,247,4.66,100,10000,Clouds,overcast clouds
2026-07-14T09:14:05.977705+00:00,Faridabad,28.4089,77.3178,39.13,41.88,31,997,2.59,285,4.05,90,10000,Clouds,overcast clouds
2026-07-14T09:14:05.977705+00:00,Ghaziabad,28.6692,77.4538,37.95,41.18,35,997,2.24,267,3.92,100,10000,Clouds,overcast clouds
2026-07-14T09:14:05.977705+00:00,Gurgaon,28.4595,77.0266,39.89,42.49,29,997,2.67,259,4.54,99,10000,Clouds,overcast clouds
